#authorList	title	journal	year	volume	pages	pmid	inhouse	hpo	monarch	topic.list
de Lima Morais DA, Fang H, Rackham OJ, Wilson D, Pethica R, Chothia C, Gough J	SUPERFAMILY 1	75 including a domain-centric gene ontology method	2011	39(Database issue)	D427-34	21062816	F	T	F	resource
Kitsios GD, Tangri N, Castaldi PJ, Ioannidis JP	Laboratory mouse models for the human genome-wide associations	PLoS One	2010	5(11)	e13782	21072174	F	T	F	resource;cross.species
Bayés A, van de Lagemaat LN, Collins MO, Croning MD, Whittle IR, Choudhary JS, Grant SG	Characterization of the proteome, diseases and evolution of the human postsynaptic density	Nat Neurosci	2011	14(1)	19-21	21170055	F	T	F	systems.bio.algorithm
Schindelman G, Fernandes JS, Bastiani CA, Yook K, Sternberg PW	Worm Phenotype Ontology: integrating phenotype data within and beyond the C	elegans community	2011	12	32	21261995	F	T	F	cross.species
Hoehndorf R, Dumontier M, Oellrich A, Wimalaratne S, Rebholz-Schuhmann D, Schofield P, Gkoutos GV	A common layer of interoperability for biomedical ontologies based on OWL EL	Bioinformatics	2011	27(7)	1001-8	21343142	F	T	F	resource
Cohen R, Gefen A, Elhadad M, Birk OS	CSI-OMIM--Clinical Synopsis Search in OMIM	BMC Bioinformatics	2011	12	65	21362185	F	T	F	resource
Xiang Y, Payne PR, Huang K	Transactional database transformation and its application in prioritizing human disease genes	IEEE/ACM Trans Comput Biol Bioinform	2012	9(1)	294-304	21422495	F	T	F	resource;phenogeno.algorithm
Hochheiser H, Aronow BJ, Artinger K, Beaty TH, Brinkley JF, Chai Y, Clouthier D, Cunningham ML, Dixon M, Donahue LR, Fraser SE, Hallgrimsson B, Iwata J, Klein O, Marazita ML, Murray JC, Murray S, de Villena FP, Postlethwait J, Potter S, Shapiro L, Spritz R, Visel A, Weinberg SM, Trainor PA	The FaceBase Consortium: a comprehensive program to facilitate craniofacial research	Dev Biol	2011	355(2)	175-82	21458441	F	T	F	resource
Zhang W, Chen Y, Sun F, Jiang R	DomainRBF: a Bayesian regression approach to the prioritization of candidate domains for complex diseases	BMC Syst Biol	2011	5	55	21504591	F	T	F	phenogeno.algorithm
Geifman N, Rubin E	Towards an Age-Phenome Knowledge-base	BMC Bioinformatics	2011	12	229	21651792	F	T	F	resource
Gottlieb A, Stein GY, Ruppin E, Sharan R	PREDICT: a method for inferring novel drug indications with application to personalized medicine	Mol Syst Biol	2011	7	496	21654673	F	T	F	systems.bio.algorithm
Hoehndorf R, Schofield PN, Gkoutos GV	PhenomeNET: a whole-phenome approach to disease gene discovery	Nucleic Acids Res	2011	39(18)	e119	21737429	F	T	F	phenogeno.algorithm
Hoehndorf R, Dumontier M, Oellrich A, Rebholz-Schuhmann D, Schofield PN, Gkoutos GV	Interoperability between biomedical ontologies through relation expansion, upper-level ontologies and automatic reasoning	PLoS One	2011	6(7)	e22006	21789201	F	T	F	resource
Li X, Wang Q, Zheng Y, Lv S, Ning S, Sun J, Huang T, Zheng Q, Ren H, Xu J, Wang X, Li Y	Prioritizing human cancer microRNAs based on genes' functional consistency between microRNA and cancer	Nucleic Acids Res	2011	39(22)	e153	21976726	F	T	F	systems.bio.algorithm
Schofield PN, Sundberg JP, Hoehndorf R, Gkoutos GV	New approaches to the representation and analysis of phenotype knowledge in human diseases and their animal models	Brief Funct Genomics	2011	10(5)	258-65	21987712	F	T	F	cross.species
Uciteli A, Groß S, Kireyev S, Herre H	An ontologically founded architecture for information systems in clinical and epidemiological research	J Biomed Semantics	2011	2 Suppl 4	S1	21995847	F	T	F	resource
Schofield PN, Vogel P, Gkoutos GV, Sundberg JP	Exploring the elephant: histopathology in high-throughput phenotyping of mutant mice	Dis Model Mech	2012	5(1)	19-25	22028326	F	T	F	cross.species;review
Köhler S, Bauer S, Mungall CJ, Carletti G, Smith CL, Schofield P, Gkoutos GV, Robinson PN	Improving ontologies by automatic reasoning and evaluation of logical definitions	BMC Bioinformatics	2011	12	418	22032770	T	T	F	resource
Schulz MH, Köhler S, Bauer S, Robinson PN	Exact score distribution computation for ontological similarity searches	BMC Bioinformatics	2011	12	441	22078312	T	T	F	phenogeno.algorithm
Li MJ, Wang P, Liu X, Lim EL, Wang Z, Yeager M, Wong MP, Sham PC, Chanock SJ, Wang J	GWASdb: a database for human genetic variants identified by genome-wide association studies	Nucleic Acids Res	2012	40(Database issue)	D1047-54	22139925	F	T	F	resource
Woo JH, Lai AM, Chung WK, Weng C	Similarity-based disease risk assessment for personal genomes: proof of concept	AMIA Annu Symp Proc	2011	2011	1524-31	22195217	F	T	F	phenogeno.algorithm
Samwald M, Coulet A, Huerga I, Powers RL, Luciano JS, Freimuth RR, Whipple F, Pichler E, Prud'hommeaux E, Dumontier M, Marshall MS	Semantically enabling pharmacogenomic data for the realization of personalized medicine	Pharmacogenomics	2012	13(2)	201-12	22256869	F	T	F	phenogeno.algorithm
Mungall CJ, Torniai C, Gkoutos GV, Lewis SE, Haendel MA	Uberon, an integrative multi-species anatomy ontology	Genome Biol	2012	13(1)	R5	22293552	T	T	T	resource
Chen CK, Mungall CJ, Gkoutos GV, Doelken SC, Köhler S, Ruef BJ, Smith C, Westerfield M, Robinson PN, Lewis SE, Schofield PN, Smedley D	MouseFinder: Candidate disease genes from mouse phenotype data	Hum Mutat	2012	33(5)	858-66	22331800	T	T	T	cross.species
Riggs ER, Jackson L, Miller DT, Van Vooren S	Phenotypic information in genomic variant databases enhances clinical care and research: the International Standards for Cytogenomic Arrays Consortium experience	Hum Mutat	2012	33(5)	787-96	22331816	F	T	F	resource
Schofield PN, Hoehndorf R, Gkoutos GV	Mouse genetic and phenotypic resources for human genetics	Hum Mutat	2012	33(5)	826-36	22422677	F	T	F	cross.species;review
Groza T, Hunter J, Zankl A	The Bone Dysplasia Ontology: integrating genotype and phenotype information in the skeletal dysplasia domain	BMC Bioinformatics	2012	13	50	22449239	F	T	F	resource
Hoehndorf R, Harris MA, Herre H, Rustici G, Gkoutos GV	Semantic integration of physiology phenotypes with an application to the Cellular Phenotype Ontology	Bioinformatics	2012	28(13)	1783-9	22539675	F	T	F	resource
Wain KE, Riggs E, Hanson K, Savage M, Riethmaier D, Muirhead A, Mitchell E, Packard BS, Faucett WA	The laboratory-clinician team: a professional call to action to improve communication and collaboration for optimal patient care in chromosomal microarray testing	J Genet Couns	2012	21(5)	631-7	22610653	F	T	F	review
Hoehndorf R, Dumontier M, Gkoutos GV	Identifying aberrant pathways through integrated analysis of knowledge in pharmacogenomics	Bioinformatics	2012	28(16)	2169-75	22711793	F	T	F	systems.bio.algorithm
Oellrich A, Hoehndorf R, Gkoutos GV, Rebholz-Schuhmann D	Improving disease gene prioritization by comparing the semantic similarity of phenotypes in mice with those of human diseases	PLoS One	2012	7(6)	e38937	22719993	F	T	F	phenogeno.algorithm;cross.species
Wang GZ, Konopka G	Differential functional constraints on the evolution of postsynaptic density proteins in neocortical laminae	PLoS One	2012	7(6)	e39686	22761869	F	T	F	systems.bio.algorithm
Gkoutos GV, Schofield PN, Hoehndorf R	Computational tools for comparative phenomics: the role and promise of ontologies	Mamm Genome	2012	23(9-10)	669-79	22814867	F	T	F	review
Lyon GJ, Wang K	Identifying disease mutations in genomic medicine settings: current challenges and how to accelerate progress	Genome Med	2012	4(7)	58	22830651	F	T	F	review
Bauer S, Köhler S, Schulz MH, Robinson PN	Bayesian ontology querying for accurate and noise-tolerant semantic searches	Bioinformatics	2012	28(19)	2502-8	22843981	T	T	F	phenogeno.algorithm
Taboada M, Martínez D, Pilo B, Jiménez-Escrig A, Robinson PN, Sobrido MJ	Querying phenotype-genotype relationships on patient datasets using semantic web technology: the example of Cerebrotendinous xanthomatosis	BMC Med Inform Decis Mak	2012	12	78	22849591	T	T	F	phenogeno.algorithm
Smith CL, Eppig JT	The Mammalian Phenotype Ontology as a unifying standard for experimental and high-throughput phenotyping data	Mamm Genome	2012	23(9-10)	653-68	22961259	F	T	F	resource;cross.species
Clark AE	Sequence thyself: personalized medicine and therapies for the future: 2012 Yale Healthcare Conference	Yale J Biol Med	2012	85(3)	421-4	23012590	F	T	F	review
Sifrim A, Van Houdt JK, Tranchevent LC, Nowakowska B, Sakai R, Pavlopoulos GA, Devriendt K, Vermeesch JR, Moreau Y, Aerts J	Annotate-it: a Swiss-knife approach to annotation, analysis and interpretation of single nucleotide variation in human disease	Genome Med	2012	4(9)	73	23013645	F	T	F	phenogeno.algorithm
Shihab HA, Gough J, Cooper DN, Stenson PD, Barker GL, Edwards KJ, Day IN, Gaunt TR	Predicting the functional, molecular, and phenotypic consequences of amino acid substitutions using hidden Markov models	Hum Mutat	2013	34(1)	57-65	23033316	F	T	F	phenogeno.algorithm
Oellrich A, Gkoutos GV, Hoehndorf R, Rebholz-Schuhmann D	Quantitative comparison of mapping methods between Human and Mammalian Phenotype Ontology	J Biomed Semantics	2012	3 Suppl 2	S1	23046555	F	T	F	cross.species
Loebe F, Stumpf F, Hoehndorf R, Herre H	Towards improving phenotype representation in OWL	J Biomed Semantics	2012	3 Suppl 2	S5	23046625	F	T	F	review
Gkoutos GV, Hoehndorf R	Ontology-based cross-species integration and analysis of Saccharomyces cerevisiae phenotypes	J Biomed Semantics	2012	3 Suppl 2	S6	23046642	F	T	F	cross.species
Grewe N	Continuation-like semantics for modeling structural process anomalies	J Biomed Semantics	2012	3 Suppl 2	S8	23046705	F	T	F	resource
Groza T, Hunter J, Zankl A	Supervised segmentation of phenotype descriptions for the human skeletal phenome using hybrid methods	BMC Bioinformatics	2012	13	265	23061930	F	T	F	resource
Wierenga KJ, Jiang Z, Yang AC, Mulvihill JJ, Tsinoremas NF	A clinical evaluation tool for SNP arrays, especially for autosomal recessive conditions in offspring of consanguineous parents	Genet Med	2013	15(5)	354-60	23100014	F	T	F	phenogeno.algorithm
Doelken SC, Köhler S, Mungall CJ, Gkoutos GV, Ruef BJ, Smith C, Smedley D, Bauer S, Klopocki E, Schofield PN, Westerfield M, Robinson PN, Lewis SE	Phenotypic overlap in the contribution of individual genes to CNV pathogenicity revealed by cross-species computational analysis of single-gene mutations in humans, mice and zebrafish	Dis Model Mech	2013	6(2)	358-72	23104991	T	T	T	phenogeno.algorithm;cross.species
Fang H, Gough J	DcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more	Nucleic Acids Res	2013	41(Database issue)	D536-44	23161684	F	T	F	resource;cross.species
Rubinstein WS, Maglott DR, Lee JM, Kattman BL, Malheiro AJ, Ovetsky M, Hem V, Gorelenkov V, Song G, Wallin C, Husain N, Chitipiralla S, Katz KS, Hoffman D, Jang W, Johnson M, Karmanov F, Ukrainchik A, Denisenko M, Fomous C, Hudson K, Ostell JM	The NIH genetic testing registry: a new, centralized database of genetic tests to enable access to comprehensive information and improve transparency	Nucleic Acids Res	2013	41(Database issue)	D925-35	23193275	F	T	F	resource
Paul R, Groza T, Hunter J, Zankl A	Decision support methods for finding phenotype--disorder associations in the bone dysplasia domain	PLoS One	2012	7(11)	e50614	23226331	F	T	F	phenogeno.algorithm
Beck T, Free RC, Thorisson GA, Brookes AJ	Semantically enabling a genome-wide association study database	J Biomed Semantics	2012	3(1)	9	23244533	F	T	F	resource
Jia M, Liu Y, Shen Z, Zhao C, Zhang M, Yi Z, Wen C, Deng Y, Shi T	HDAM: a resource of human disease associated mutations from next generation sequencing studies	BMC Med Genomics	2013	6 Suppl 1	S16	23369322	F	T	F	resource
Hamosh A, Sobreira N, Hoover-Fong J, Sutton VR, Boehm C, Schiettecatte F, Valle D	PhenoDB: a new web-based tool for the collection, storage, and analysis of phenotypic features	Hum Mutat	2013	34(4)	566-71	23378291	F	T	F	resource
Groza T, Hunter J, Zankl A	Mining skeletal phenotype descriptions from scientific literature	PLoS One	2013	8(2)	e55656	23409017	F	T	F	resource
Reyes-Palomares A, Rodríguez-López R, Ranea JA, Sánchez-Jiménez F, Medina MA	Global analysis of the human pathophenotypic similarity gene network merges disease module components	PLoS One	2013	8(2)	e56653	23437198	F	T	F	resource
Groza T, Hunter J, Zankl A	Decomposing phenotype descriptions for the human skeletal phenome	Biomed Inform Insights	2013	6	1-14	23440304	T	T	F	resource
Roncarati R, Viviani Anselmi C, Krawitz P, Lattanzi G, von Kodolitsch Y, Perrot A, di Pasquale E, Papa L, Portararo P, Columbaro M, Forni A, Faggian G, Condorelli G, Robinson PN	Doubly heterozygous LMNA and TTN mutations revealed by exome sequencing in a severe form of dilated cardiomyopathy	Eur J Hum Genet	2013	21(10)	1105-11	23463027	T	T	F	clinical.use
Gan M, Dou X, Jiang R	From ontology to semantic similarity: calculation of ontology-based semantic similarity	ScientificWorldJournal	2013	2013	793091	23533360	F	T	F	review
Krawitz PM, Murakami Y, Rieß A, Hietala M, Krüger U, Zhu N, Kinoshita T, Mundlos S, Hecht J, Robinson PN, Horn D	PGAP2 mutations, affecting the GPI-anchor-synthesis pathway, cause hyperphosphatasia with mental retardation syndrome	Am J Hum Genet	2013	92(4)	584-9	23561847	T	T	F	clinical.use
Rappaport N, Nativ N, Stelzer G, Twik M, Guan-Golan Y, Stein TI, Bahir I, Belinky F, Morrey CP, Safran M, Lancet D	MalaCards: an integrated compendium for diseases and their annotation	Database (Oxford)	2013	2013	bat018	23584832	F	T	F	resource
Hirata H, Nanda I, van Riesen A, McMichael G, Hu H, Hambrock M, Papon MA, Fischer U, Marouillat S, Ding C, Alirol S, Bienek M, Preisler-Adams S, Grimme A, Seelow D, Webster R, Haan E, MacLennan A, Stenzel W, Yap TY, Gardner A, Nguyen LS, Shaw M, Lebrun N, Haas SA, Kress W, Haaf T, Schellenberger E, Chelly J, Viot G, Shaffer LG, Rosenfeld JA, Kramer N, Falk R, El-Khechen D, Escobar LF, Hennekam R, Wieacker P, Hübner C, Ropers HH, Gecz J, Schuelke M, Laumonnier F, Kalscheuer VM	ZC4H2 mutations are associated with arthrogryposis multiplex congenita and intellectual disability through impairment of central and peripheral synaptic plasticity	Am J Hum Genet	2013	92(5)	681-95	23623388	F	T	F	clinical.use
Bromberg Y	Chapter 15: disease gene prioritization	PLoS Comput Biol	2013	9(4)	e1002902	23633938	F	T	F	review
Araki H, Knapp C, Tsai P, Print C	GeneSetDB: A comprehensive meta-database, statistical and visualisation framework for gene set analysis	FEBS Open Bio	2012	2	76-82	23650583	F	T	F	resource
Smedley D, Oellrich A, Köhler S, Ruef B; Sanger Mouse Genetics Project, Westerfield M, Robinson P, Lewis S, Mungall C	PhenoDigm: analyzing curated annotations to associate animal models with human diseases	Database (Oxford)	2013	2013	bat025	23660285	T	T	F	phenogeno.algorithm;cross.species
Dai W, Liu X, Zhang Z, Chen J, Guo R, Zheng H, Jin X, Wen S, Gao Y, Li T, Lu P, Zhang Y	A two-level model for the analysis of syndrome of acute ischemic stroke: from diagnostic model to molecular mechanism	Evid Based Complement Alternat Med	2013	2013	293010	23662126	F	T	F	review
Katsanis SH, Katsanis N	Molecular genetic testing and the future of clinical genomics	Nat Rev Genet	2013	14(6)	415-26	23681062	F	T	F	review
Wang J, Duncan D, Shi Z, Zhang B	WEB-based GEne SeT AnaLysis Toolkit (WebGestalt): update 2013	Nucleic Acids Res	2013	41(Web Server issue)	W77-83	23703215	F	T	F	resource
Hoehndorf R, Schofield PN, Gkoutos GV	An integrative, translational approach to understanding rare and orphan genetically based diseases	Interface Focus	2013	3(2)	20120055	23853703	F	T	F	review
Heinrich V, Kamphans T, Stange J, Parkhomchuk D, Hecht J, Dickhaus T, Robinson PN, Krawitz PM	Estimating exome genotyping accuracy by comparing to data from large scale sequencing projects	Genome Med	2013	5(7)	69	23902830	T	T	F	clinical.use
Park CA, Bello SM, Smith CL, Hu ZL, Munzenmaier DH, Nigam R, Smith JR, Shimoyama M, Eppig JT, Reecy JM	The Vertebrate Trait Ontology: a controlled vocabulary for the annotation of trait data across species	J Biomed Semantics	2013	4(1)	13	23937709	F	T	F	resource
Yang M, Chen JL, Xu LW, Ji G	Navigating traditional chinese medicine network pharmacology and computational tools	Evid Based Complement Alternat Med	2013	2013	731969	23983798	F	T	F	resource
Collier N, Oellrich A, Groza T	Toward knowledge support for analysis and interpretation of complex traits	Genome Biol	2013	14(9)	214	24079802	T	T	F	review
Degenkolbe E, König J, Zimmer J, Walther M, Reißner C, Nickel J, Plöger F, Raspopovic J, Sharpe J, Dathe K, Hecht JT, Mundlos S, Doelken SC, Seemann P	A GDF5 point mutation strikes twice--causing BDA1 and SYNS2	PLoS Genet	2013	9(10)	e1003846	24098149	T	T	F	clinical.use
Graul-Neumann LM, Deichsel A, Wille U, Kakar N, Koll R, Bassir C, Ahmad J, Cormier-Daire V, Mundlos S, Kubisch C, Borck G, Klopocki E, Mueller TD, Doelken SC, Seemann P	Homozygous missense and nonsense mutations in BMPR1B cause acromesomelic chondrodysplasia-type Grebe	Eur J Hum Genet	2014	22(6)	726-33	24129431	F	T	F	clinical.use
Oellrich A, Grabmüller C, Rebholz-Schuhmann D	Automatically transforming pre- to post-composed phenotypes: EQ-lising HPO and MP	J Biomed Semantics	2013	4(1)	29	24131519	F	T	F	resource
Cheng L, Wang G, Li J, Zhang T, Xu P, Wang Y	SIDD: a semantically integrated database towards a global view of human disease	PLoS One	2013	8(10)	e75504	24146757	F	T	F	resource
Collier N, Tran MV, Le HQ, Ha QT, Oellrich A, Rebholz-Schuhmann D	Learning to recognize phenotype candidates in the auto-immune literature using SVM re-ranking	PLoS One	2013	8(10)	e72965	24155869	F	T	F	resource
Hoehndorf R, Hiebert T, Hardy NW, Schofield PN, Gkoutos GV, Dumontier M	Mouse model phenotypes provide information about human drug targets	Bioinformatics	2014	30(5)	719-25	24158600	F	T	F	cross.species
Vihinen M	Variation Ontology for annotation of variation effects and mechanisms	Genome Res	2014	24(2)	356-64	24162187	F	T	F	resource
Robinson PN, Köhler S, Oellrich A; Sanger Mouse Genetics Project, Wang K, Mungall CJ, Lewis SE, Washington N, Bauer S, Seelow D, Krawitz P, Gilissen C, Haendel M, Smedley D	Improved exome prioritization of disease genes through cross-species phenotype comparison	Genome Res	2014	24(2)	340-8	24162188	T	T	T	phenogeno.algorithm;cross.species
Oortveld MA, Keerthikumar S, Oti M, Nijhof B, Fernandes AC, Kochinke K, Castells-Nobau A, van Engelen E, Ellenkamp T, Eshuis L, Galy A, van Bokhoven H, Habermann B, Brunner HG, Zweier C, Verstreken P, Huynen MA, Schenck A	Human intellectual disability genes form conserved functional modules in Drosophila	PLoS Genet	2013	9(10)	e1003911	24204314	F	T	F	clinical.use
Köhler S, Doelken SC, Mungall CJ, Bauer S, Firth HV, Bailleul-Forestier I, Black GC, Brown DL, Brudno M, Campbell J, FitzPatrick DR, Eppig JT, Jackson AP, Freson K, Girdea M, Helbig I, Hurst JA, Jähn J, Jackson LG, Kelly AM, Ledbetter DH, Mansour S, Martin CL, Moss C, Mumford A, Ouwehand WH, Park SM, Riggs ER, Scott RH, Sisodiya S, Van Vooren S, Wapner RJ, Wilkie AO, Wright CF, Vulto-van Silfhout AT, de Leeuw N, de Vries BB, Washingthon NL, Smith CL, Westerfield M, Schofield P, Ruef BJ, Gkoutos GV, Haendel M, Smedley D, Lewis SE, Robinson PN	The Human Phenotype Ontology project: linking molecular biology and disease through phenotype data	Nucleic Acids Res	2014	42(Database issue)	D966-74	24217912	T	T	F	resource
Landrum MJ, Lee JM, Riley GR, Jang W, Rubinstein WS, Church DM, Maglott DR	ClinVar: public archive of relationships among sequence variation and human phenotype	Nucleic Acids Res	2014	42(Database issue)	D980-5	24234437	F	T	F	resource
Herrera-Galeano JE, Hirschberg DL, Mokashi V, Solka J	OGA: an ontological tool of human phenotypes with genetic associations	BMC Res Notes	2013	6	511	24308566	F	T	F	resource
Köhler S, Doelken SC, Ruef BJ, Bauer S, Washington N, Westerfield M, Gkoutos G, Schofield P, Smedley D, Lewis SE, Robinson PN, Mungall CJ	Construction and accessibility of a cross-species phenotype ontology along with gene annotations for biomedical research	Version 2	1000	2	30	24358873	T	T	T	cross.species
Cutting GR	Annotating DNA variants is the next major goal for human genetics	Am J Hum Genet	2014	94(1)	5-10	24387988	F	T	F	review
Pesquita C, Ferreira JD, Couto FM, Silva MJ	The epidemiology ontology: an ontology for the semantic annotation of epidemiological resources	J Biomed Semantics	2014	5(1)	4	24438387	F	T	F	resource
Jacquemin T, Jiang R	Walking on a tissue-specific disease-protein-complex heterogeneous network for the discovery of disease-related protein complexes	Biomed Res Int	2013	2013	732650	24455720	F	T	F	systems.bio.algorithm
Paul R, Groza T, Hunter J, Zankl A	Semantic interestingness measures for discovering association rules in the skeletal dysplasia domain	J Biomed Semantics	2014	5(1)	8	24499729	T	T	F	resource
Vihinen M	Variation ontology: annotator guide	J Biomed Semantics	2014	5(1)	9	24533660	F	T	F	resource
Wass MN, Mooney SD, Linial M, Radivojac P, Friedberg I	The automated function prediction SIG looks back at 2013 and prepares for 2014	Bioinformatics	2014	30(14)	2091-2	24590444	F	T	F	review
Wu J, Li Y, Jiang R	Integrating multiple genomic data to predict disease-causing nonsynonymous single nucleotide variants in exome sequencing studies	PLoS Genet	2014	10(3)	e1004237	24651380	F	T	F	systems.bio.algorithm
Robinson PN, Webber C	Phenotype ontologies and cross-species analysis for translational research	PLoS Genet	2014	10(4)	e1004268	24699242	T	T	F	cross.species;review
Singleton MV, Guthery SL, Voelkerding KV, Chen K, Kennedy B, Margraf RL, Durtschi J, Eilbeck K, Reese MG, Jorde LB, Huff CD, Yandell M	Phevor combines multiple biomedical ontologies for accurate identification of disease-causing alleles in single individuals and small nuclear families	Am J Hum Genet	2014	94(4)	599-610	24702956	F	T	F	phenogeno.algorithm
Puckelwartz MJ, McNally EM	Genetic profiling for risk reduction in human cardiovascular disease	Genes (Basel)	2014	5(1)	214-34	24705294	F	T	F	review
Liakath-Ali K, Vancollie VE, Heath E, Smedley DP, Estabel J, Sunter D, Ditommaso T, White JK, Ramirez-Solis R, Smyth I, Steel KP, Watt FM	Novel skin phenotypes revealed by a genome-wide mouse reverse genetic screen	Nat Commun	2014	5	3540	24721909	T	T	F	cross.species
